team,season,role,name
NYJ,2018,HC,Todd Bowles
NYJ,2018,OC,Jeremy Bates
NYJ,2019,HC,Adam Gase
NYJ,2019,OC,Dowell Loggains
NYJ,2020,HC,Adam Gase
NYJ,2020,OC,Dowell Loggains
NYJ,2021,HC,Robert Saleh
NYJ,2021,OC,Mike LaFleur
NYJ,2022,HC,Robert Saleh
NYJ,2022,OC,Mike LaFleur
NYJ,2023,HC,Robert Saleh
NYJ,2023,OC,Nathaniel Hackett
NYJ,2024,HC,Robert Saleh
NYJ,2024,OC,Nathaniel Hackett
PHI,2015,HC,Chip Kelly
PHI,2015,OC,Pat Shurmur
PHI,2016,HC,Doug Pederson
PHI,2016,OC,Frank Reich
PHI,2017,HC,Doug Pederson
PHI,2017,OC,Frank Reich
PHI,2018,HC,Doug Pederson
PHI,2018,OC,Mike Groh
PHI,2019,HC,Doug Pederson
PHI,2019,OC,Mike Groh
PHI,2020,HC,Doug Pederson
PHI,2020,OC,Doug Pederson
PHI,2021,HC,Nick Sirianni
PHI,2021,OC,Shane Steichen
PHI,2022,HC,Nick Sirianni
PHI,2022,OC,Shane Steichen
PHI,2023,HC,Nick Sirianni
PHI,2023,OC,Brian Johnson
PHI,2024,HC,Nick Sirianni
PHI,2024,OC,Kellen Moore
PIT,2015,HC,Mike Tomlin
PIT,2015,OC,Todd Haley
PIT,2016,HC,Mike Tomlin
PIT,2016,OC,Todd Haley
PIT,2017,HC,Mike Tomlin
PIT,2017,OC,Todd Haley
PIT,2018,HC,Mike Tomlin
PIT,2018,OC,Randy Fichtner
PIT,2019,HC,Mike Tomlin
PIT,2019,OC,Randy Fichtner
PIT,2020,HC,Mike Tomlin
PIT,2020,OC,Randy Fichtner
PIT,2021,HC,Mike Tomlin
PIT,2021,OC,Matt Canada
PIT,2022,HC,Mike Tomlin
PIT,2022,OC,Matt Canada
PIT,2023,HC,Mike Tomlin
PIT,2023,OC,Matt Canada
PIT,2024,HC,Mike Tomlin
PIT,2024,OC,Arthur Smith
SEA,2015,HC,Pete Carroll
SEA,2015,OC,Darrell Bevell
SEA,2016,HC,Pete Carroll
SEA,2016,OC,Darrell Bevell
SEA,2017,HC,Pete Carroll
SEA,2017,OC,Darrell Bevell
SEA,2018,HC,Pete Carroll
SEA,2018,OC,Brian Schottenheimer
SEA,2019,HC,Pete Carroll
SEA,2019,OC,Brian Schottenheimer
SEA,2020,HC,Pete Carroll
SEA,2020,OC,Brian Schottenheimer
SEA,2021,HC,Pete Carroll
SEA,2021,OC,Shane Waldron
SEA,2022,HC,Pete Carroll
SEA,2022,OC,Shane Waldron
SEA,2023,HC,Pete Carroll
SEA,2023,OC,Shane Waldron
SEA,2024,HC,Mike Macdonald
SEA,2024,OC,Ryan Grubb
SF,2015,HC,Jim Tomsula
SF,2015,OC,Geep Chryst
SF,2016,HC,Chip Kelly
SF,2016,OC,Curtis Modkins
SF,2017,HC,Kyle Shanahan
SF,2017,OC,Kyle Shanahan
SF,2018,HC,Kyle Shanahan
SF,2018,OC,Kyle Shanahan
SF,2019,HC,Kyle Shanahan
SF,2019,OC,Kyle Shanahan
SF,2020,HC,Kyle Shanahan
SF,2020,OC,Kyle Shanahan
SF,2021,HC,Kyle Shanahan
SF,2021,OC,Mike McDaniel
SF,2022,HC,Kyle Shanahan
SF,2022,OC,Kyle Shanahan
SF,2023,HC,Kyle Shanahan
SF,2023,OC,Kyle Shanahan
SF,2024,HC,Kyle Shanahan
SF,2024,OC,Kyle Shanahan
TB,2015,HC,Lovie Smith
TB,2015,OC,Dirk Koetter
TB,2016,HC,Dirk Koetter
TB,2016,OC,Todd Monken
TB,2017,HC,Dirk Koetter
TB,2017,OC,Todd Monken
TB,2018,HC,Dirk Koetter
TB,2018,OC,Todd Monken
TB,2019,HC,Bruce Arians
TB,2019,OC,Byron Leftwich
TB,2020,HC,Bruce Arians
TB,2020,OC,Byron Leftwich
TB,2021,HC,Bruce Arians
TB,2021,OC,Byron Leftwich
TB,2022,HC,Todd Bowles
TB,2022,OC,Byron Leftwich
TB,2023,HC,Todd Bowles
TB,2023,OC,Dave Canales
TB,2024,HC,Todd Bowles
TB,2024,OC,Liam Coen
TEN,2015,HC,Ken Whisenhunt
TEN,2015,OC,Jason Michael
TEN,2016,HC,Mike Mularkey
TEN,2016,OC,Terry Robiskie
TEN,2017,HC,Mike Mularkey
TEN,2017,OC,Terry Robiskie
TEN,2018,HC,Mike Vrabel
TEN,2018,OC,Matt LaFleur
TEN,2019,HC,Mike Vrabel
TEN,2019,OC,Arthur Smith
TEN,2020,HC,Mike Vrabel
TEN,2020,OC,Arthur Smith
TEN,2021,HC,Mike Vrabel
TEN,2021,OC,Todd Downing
TEN,2022,HC,Mike Vrabel
TEN,2022,OC,Todd Downing
TEN,2023,HC,Mike Vrabel
TEN,2023,OC,Tim Kelly
TEN,2024,HC,Brian Callahan
TEN,2024,OC,Nick Holz
WAS,2015,HC,Jay Gruden
WAS,2015,OC,Sean McVay
WAS,2016,HC,Jay Gruden
WAS,2016,OC,Sean McVay
WAS,2017,HC,Jay Gruden
WAS,2017,OC,Matt Cavanaugh
WAS,2018,HC,Jay Gruden
WAS,2018,OC,Matt Cavanaugh
WAS,2019,HC,Jay Gruden
WAS,2019,OC,Kevin O'Connell
WAS,2020,HC,Ron Rivera
WAS,2020,OC,Scott Turner
WAS,2021,HC,Ron Rivera
WAS,2021,OC,Scott Turner
WAS,2022,HC,Ron Rivera
WAS,2022,OC,Scott Turner
WAS,2023,HC,Ron Rivera
WAS,2023,OC,Eric Bieniemy
WAS,2024,HC,Dan Quinn
WAS,2024,OC,Kliff Kingsbury
ARI,2025,HC,Jonathan Gannon
ARI,2025,OC,Drew Petzing
ARI,2026,HC,Mike LaFleur
ARI,2026,OC,Nathaniel Hackett
ATL,2025,HC,Raheem Morris
ATL,2025,OC,Zac Robinson
ATL,2026,HC,Kevin Stefanski
ATL,2026,OC,Tommy Rees
BAL,2025,HC,John Harbaugh
BAL,2025,OC,Todd Monken
BAL,2026,HC,Jesse Minter
BAL,2026,OC,Declan Doyle
BUF,2025,HC,Sean McDermott
BUF,2025,OC,Joe Brady
BUF,2026,HC,Joe Brady
BUF,2026,OC,Pete Carmichael
CAR,2025,HC,Dave Canales
CAR,2025,OC,Brad Idzik
CAR,2026,HC,Dave Canales
CAR,2026,OC,Brad Idzik
CHI,2025,HC,Ben Johnson
CHI,2025,OC,Declan Doyle
CHI,2026,HC,Ben Johnson
CHI,2026,OC,Press Taylor
CIN,2025,HC,Zac Taylor
CIN,2025,OC,Dan Pitcher
CIN,2026,HC,Zac Taylor
CIN,2026,OC,Dan Pitcher
CLE,2025,HC,Kevin Stefanski
CLE,2025,OC,Tommy Rees
CLE,2026,HC,Todd Monken
CLE,2026,OC,Travis Switzer
DAL,2025,HC,Brian Schottenheimer
DAL,2025,OC,Klayton Adams
DAL,2026,HC,Brian Schottenheimer
DAL,2026,OC,Klayton Adams
DEN,2025,HC,Sean Payton
DEN,2025,OC,Joe Lombardi
DEN,2026,HC,Sean Payton
DEN,2026,OC,Davis Webb
DET,2025,HC,Dan Campbell
DET,2025,OC,John Morton
DET,2026,HC,Dan Campbell
DET,2026,OC,Drew Petzing
GB,2025,HC,Matt LaFleur
GB,2025,OC,Adam Stenavich
GB,2026,HC,Matt LaFleur
GB,2026,OC,Adam Stenavich
HOU,2025,HC,DeMeco Ryans
HOU,2025,OC,Nick Caley
HOU,2026,HC,DeMeco Ryans
HOU,2026,OC,Nick Caley
IND,2025,HC,Shane Steichen
IND,2025,OC,Jim Bob Cooter
IND,2026,HC,Shane Steichen
IND,2026,OC,Jim Bob Cooter
JAX,2025,HC,Liam Coen
JAX,2025,OC,Grant Udinski
JAX,2026,HC,Liam Coen
JAX,2026,OC,Grant Udinski
KC,2025,HC,Andy Reid
KC,2025,OC,Matt Nagy
KC,2026,HC,Andy Reid
KC,2026,OC,Eric Bieniemy
LA,2025,HC,Sean McVay
LA,2025,OC,Mike LaFleur
LA,2026,HC,Sean McVay
LA,2026,OC,Nathan Scheelhaase
LAC,2025,HC,Jim Harbaugh
LAC,2025,OC,Greg Roman
LAC,2026,HC,Jim Harbaugh
LAC,2026,OC,Mike McDaniel
LV,2025,HC,Pete Carroll
LV,2025,OC,Chip Kelly
LV,2026,HC,Klint Kubiak
LV,2026,OC,Andrew Janocko
MIA,2025,HC,Mike McDaniel
MIA,2025,OC,Frank Smith
MIA,2026,HC,Jeff Hafley
MIA,2026,OC,Bobby Slowik
MIN,2025,HC,Kevin O'Connell
MIN,2025,OC,Wes Phillips
MIN,2026,HC,Kevin O'Connell
MIN,2026,OC,Wes Phillips
NE,2025,HC,Mike Vrabel
NE,2025,OC,Josh McDaniels
NE,2026,HC,Mike Vrabel
NE,2026,OC,Josh McDaniels
NO,2025,HC,Kellen Moore
NO,2025,OC,Doug Nussmeier
NO,2026,HC,Kellen Moore
NO,2026,OC,Doug Nussmeier
NYG,2025,HC,Brian Daboll
NYG,2025,OC,Tim Kelly
NYG,2026,HC,John Harbaugh
NYG,2026,OC,Matt Nagy
NYJ,2025,HC,Aaron Glenn
NYJ,2025,OC,Tanner Engstrand
NYJ,2026,HC,Aaron Glenn
NYJ,2026,OC,Frank Reich
PHI,2025,HC,Nick Sirianni
PHI,2025,OC,Kevin Patullo
PHI,2026,HC,Nick Sirianni
PHI,2026,OC,Sean Mannion
PIT,2025,HC,Mike Tomlin
PIT,2025,OC,Arthur Smith
PIT,2026,HC,Mike McCarthy
PIT,2026,OC,Brian Angelichio
SEA,2025,HC,Mike Macdonald
SEA,2025,OC,Klint Kubiak
SEA,2026,HC,Mike Macdonald
SEA,2026,OC,Brian Fleury
SF,2025,HC,Kyle Shanahan
SF,2025,OC,Klay Kubiak
SF,2026,HC,Kyle Shanahan
SF,2026,OC,Klay Kubiak
TB,2025,HC,Todd Bowles
TB,2025,OC,Josh Grizzard
TB,2026,HC,Todd Bowles
TB,2026,OC,Zac Robinson
TEN,2025,HC,Brian Callahan
TEN,2025,OC,Nick Holz
TEN,2026,HC,Robert Saleh
TEN,2026,OC,Brian Daboll
WAS,2025,HC,Dan Quinn
WAS,2025,OC,Kliff Kingsbury
WAS,2026,HC,Dan Quinn
WAS,2026,OC,David Blough
