season,week,playerId,position,points,touches,tds
2024,3,00-0039915,WR,8.0245,7.0500,0.3500
2024,3,00-0039916,WR,8.6074,5.2500,0.2250
2024,3,00-0039918,QB,13.9343,3.2000,0.1500
2024,3,00-0039919,WR,7.8228,6.0250,0.2500
2024,3,00-0039920,WR,2.3458,1.6750,0.0500
2024,3,00-0039921,RB,8.9509,8.6750,0.3750
2024,5,00-0023459,QB,8.8449,1.8250,0.1000
2024,5,00-0026158,QB,16.4621,10.1000,0.2250
2024,5,00-0026498,QB,18.9911,1.7000,0.0000
2024,5,00-0027973,QB,9.2728,1.5250,0.0750
2024,5,00-0029604,QB,16.3236,2.3750,0.0250
2024,5,00-0030035,WR,5.1440,3.9000,0.1000
2024,5,00-0030061,TE,7.1701,4.4500,0.1750
2024,5,00-0030279,WR,9.4209,5.5000,0.2750
2024,5,00-0030506,TE,14.9515,7.8000,0.3250
2024,5,00-0030565,QB,20.2070,2.6750,0.1000
2024,5,00-0031280,QB,7.9908,1.6750,0.0750
2024,5,00-0031299,TE,1.2240,0.9000,0.0500
2024,5,00-0031408,WR,11.5716,10.2000,0.1750
2024,5,00-0031544,WR,9.4072,9.0750,0.1500
2024,5,00-0031549,WR,4.9272,2.2250,0.1750
2024,5,00-0031588,WR,17.2534,9.9250,0.3500
2024,5,00-0031610,TE,4.9878,5.4250,0.0500
2024,5,00-0031687,RB,6.0082,7.3000,0.4000
2024,5,00-0031763,WR,1.8896,1.5000,0.0500
2024,5,00-0032104,RB,1.9433,3.2250,0.0500
2024,5,00-0032211,WR,10.7745,6.0750,0.2750
2024,5,00-0032385,WR,1.8906,1.9750,0.0250
2024,5,00-0032392,TE,3.9083,3.0000,0.2000
2024,5,00-0032398,WR,3.3085,2.5500,0.0750
2024,5,00-0032764,RB,19.0258,20.1500,1.0000
2024,5,00-0032775,WR,7.0293,3.5750,0.1750
2024,5,00-0032951,WR,2.5061,2.4000,0.0250
2024,5,00-0032977,WR,2.0318,2.1750,0.0250
2024,5,00-0033040,WR,20.3775,12.4000,0.7750
2024,5,00-0033045,RB,6.7445,10.6750,0.2750
2024,5,00-0033077,QB,15.2479,2.4250,0.1250
2024,5,00-0033090,TE,6.8483,5.7500,0.1500
2024,5,00-0033110,TE,8.2873,4.7250,0.3500
2024,5,00-0033119,QB,9.8782,1.3750,0.0250
2024,5,00-0033246,TE,3.0581,2.3750,0.0500
2024,5,00-0033280,RB,25.2433,17.6250,1.1250
2024,5,00-0033282,WR,8.2798,5.5750,0.2250
2024,5,00-0033288,TE,6.7556,2.0750,0.2500
2024,5,00-0033293,RB,19.4984,20.8250,0.8750
2024,5,00-0033307,WR,2.8856,2.4750,0.0750
2024,5,00-0033439,TE,2.2357,1.0750,0.0750
2024,5,00-0033455,TE,2.0123,1.6250,0.0000
2024,5,00-0033526,RB,4.4728,4.7750,0.1000
2024,5,00-0033536,WR,4.5425,3.7750,0.0500
2024,5,00-0033537,QB,9.5589,2.6500,0.1500
2024,5,00-0033553,RB,9.1507,13.0250,0.4250
2024,5,00-0033555,WR,5.2144,3.8000,0.0750
2024,5,00-0033556,RB,4.4218,4.2250,0.2250
2024,5,00-0033699,RB,13.9512,14.2500,0.5000
2024,5,00-0033757,TE,2.5909,2.0250,0.0500
2024,5,00-0033854,RB,2.6188,3.2000,0.0250
2024,5,00-0033857,WR,4.2438,1.8500,0.1250
2024,5,00-0033858,TE,3.6877,3.2000,0.0750
2024,5,00-0033873,QB,21.1665,3.2000,0.1500
2024,5,00-0033881,TE,3.6213,2.1750,0.0750
2024,5,00-0033885,TE,3.6239,2.7500,0.0250
2024,5,00-0033891,WR,4.4866,4.4250,0.0250
2024,5,00-0033893,RB,4.0522,6.6250,0.1750
2024,5,00-0033895,TE,3.3684,2.7000,0.0250
2024,5,00-0033906,RB,14.8479,21.7500,0.7000
