season,week,gsisId
2026,1,00-0031257
2026,1,00-0031260
2026,1,00-0031271
2026,1,00-0031273
2026,1,00-0031280
2026,1,00-0031285
2026,1,00-0031288
2026,1,00-0031299
2026,1,00-0031319
2026,1,00-0031325
2026,1,00-0031339
2026,1,00-0031344
2026,1,00-0031345
2026,1,00-0031373
2026,1,00-0031376
2026,1,00-0031382
2026,1,00-0031384
2026,1,00-0031387
2026,1,00-0031395
2026,1,00-0031407
2026,1,00-0031428
2026,1,00-0031431
2026,1,00-0031462
2026,1,00-0031503
2026,1,00-0031504
2026,1,00-0031511
2026,1,00-0031544
2026,1,00-0031545
2026,1,00-0031547
2026,1,00-0031549
2026,1,00-0031558
2026,1,00-0031570
2026,1,00-0031577
2026,1,00-0031585
2026,1,00-0031589
2026,1,00-0031590
2026,1,00-0031595
2026,1,00-0031598
2026,1,00-0031645
2026,1,00-0031665
2026,1,00-0031671
2026,1,00-0031687
2026,1,00-0031690
2026,1,00-0031711
2026,1,00-0031714
2026,1,00-0031744
2026,1,00-0031747
2026,1,00-0031763
2026,1,00-0031787
2026,1,00-0031788
2026,1,00-0031800
2026,1,00-0031806
2026,1,00-0031868
2026,1,00-0031885
2026,1,00-0031900
2026,1,00-0031934
2026,1,00-0031941
2026,1,00-0031951
2026,1,00-0031953
2026,1,00-0031960
2026,1,00-0031972
2026,1,00-0032006
2026,1,00-0032009
2026,1,00-0032054
2026,1,00-0032055
2026,1,00-0032058
2026,1,00-0032062
2026,1,00-0032063
2026,1,00-0032068
2026,1,00-0032072
2026,1,00-0032080
2026,1,00-0032082
2026,1,00-0032098
2026,1,00-0032112
2026,1,00-0032113
2026,1,00-0032117
2026,1,00-0032128
2026,1,00-0032134
2026,1,00-0032135
2026,1,00-0032139
2026,1,00-0032141
2026,1,00-0032144
2026,1,00-0032156
2026,1,00-0032160
2026,1,00-0032187
2026,1,00-0032200
2026,1,00-0032208
2026,1,00-0032209
2026,1,00-0032211
2026,1,00-0032214
2026,1,00-0032227
2026,1,00-0032241
2026,1,00-0032245
2026,1,00-0032256
2026,1,00-0032257
2026,1,00-0032268
2026,1,00-0032319
2026,1,00-0032341
2026,1,00-0032347
2026,1,00-0032349
2026,1,00-0032351
2026,1,00-0032355
2026,1,00-0032377
2026,1,00-0032385
2026,1,00-0032393
2026,1,00-0032394
2026,1,00-0032404
2026,1,00-0032411
2026,1,00-0032417
2026,1,00-0032423
2026,1,00-0032429
2026,1,00-0032431
2026,1,00-0032434
2026,1,00-0032436
2026,1,00-0032447
2026,1,00-0032450
2026,1,00-0032451
2026,1,00-0032453
2026,1,00-0032524
2026,1,00-0032537
2026,1,00-0032540
2026,1,00-0032543
2026,1,00-0032559
2026,1,00-0032577
2026,1,00-0032582
2026,1,00-0032583
2026,1,00-0032599
2026,1,00-0032602
2026,1,00-0032604
2026,1,00-0032609
2026,1,00-0032614
2026,1,00-0032625
2026,1,00-0032626
2026,1,00-0032653
2026,1,00-0032658
2026,1,00-0032661
2026,1,00-0032681
2026,1,00-0032688
2026,1,00-0032689
2026,1,00-0032702
2026,1,00-0032716
2026,1,00-0032725
2026,1,00-0032728
2026,1,00-0032741
2026,1,00-0032760
2026,1,00-0032765
2026,1,00-0032769
2026,1,00-0032772
2026,1,00-0032778
2026,1,00-0032780
2026,1,00-0032782
2026,1,00-0032784
2026,1,00-0032791
2026,1,00-0032792
2026,1,00-0032794
2026,1,00-0032795
2026,1,00-0032806
2026,1,00-0032808
2026,1,00-0032813
2026,1,00-0032817
2026,1,00-0032832
2026,1,00-0032838
2026,1,00-0032864
2026,1,00-0032876
2026,1,00-0032881
2026,1,00-0032897
2026,1,00-0032900
2026,1,00-0032901
2026,1,00-0032914
2026,1,00-0032915
2026,1,00-0032918
2026,1,00-0032935
2026,1,00-0032940
2026,1,00-0032945
2026,1,00-0032950
2026,1,00-0032951
2026,1,00-0032956
2026,1,00-0032957
2026,1,00-0032963
2026,1,00-0032966
2026,1,00-0032972
2026,1,00-0032975
2026,1,00-0032977
2026,1,00-0032980
2026,1,00-0032986
2026,1,00-0032995
2026,1,00-0032996
2026,1,00-0032997
2026,1,00-0033003
2026,1,00-0033006
2026,1,00-0033009
2026,1,00-0033025
2026,1,00-0033035
2026,1,00-0033040
2026,1,00-0033045
2026,1,00-0033049
2026,1,00-0033080
2026,1,00-0033086
2026,1,00-0033092
2026,1,00-0033094
2026,1,00-0033095
2026,1,00-0033104
2026,1,00-0033108
2026,1,00-0033111
2026,1,00-0033112
2026,1,00-0033114
2026,1,00-0033117
2026,1,00-0033118
2026,1,00-0033127
2026,1,00-0033143
2026,1,00-0033164
2026,1,00-0033193
2026,1,00-0033215
2026,1,00-0033240
2026,1,00-0033251
2026,1,00-0033258
2026,1,00-0033259
2026,1,00-0033261
2026,1,00-0033262
2026,1,00-0033266
2026,1,00-0033268
2026,1,00-0033275
2026,1,00-0033282
2026,1,00-0033286
2026,1,00-0033291
2026,1,00-0033292
2026,1,00-0033295
2026,1,00-0033296
2026,1,00-0033306
2026,1,00-0033308
2026,1,00-0033309
2026,1,00-0033319
2026,1,00-0033332
2026,1,00-0033338
2026,1,00-0033357
2026,1,00-0033367
2026,1,00-0033373
2026,1,00-0033374
2026,1,00-0033375
2026,1,00-0033382
2026,1,00-0033386
2026,1,00-0033387
2026,1,00-0033402
2026,1,00-0033407
2026,1,00-0033409
2026,1,00-0033412
2026,1,00-0033417
2026,1,00-0033421
2026,1,00-0033434
2026,1,00-0033439
2026,1,00-0033441
2026,1,00-0033455
2026,1,00-0033460
2026,1,00-0033464
2026,1,00-0033466
2026,1,00-0033471
2026,1,00-0033474
2026,1,00-0033481
2026,1,00-0033515
2026,1,00-0033517
2026,1,00-0033528
2026,1,00-0033530
2026,1,00-0033536
2026,1,00-0033550
2026,1,00-0033553
2026,1,00-0033556
2026,1,00-0033562
2026,1,00-0033564
2026,1,00-0033567
2026,1,00-0033572
2026,1,00-0033573
2026,1,00-0033589
2026,1,00-0033591
2026,1,00-0033594
2026,1,00-0033597
2026,1,00-0033604
2026,1,00-0033607
2026,1,00-0033611
2026,1,00-0033613
2026,1,00-0033622
2026,1,00-0033623
2026,1,00-0033627
2026,1,00-0033630
2026,1,00-0033633
2026,1,00-0033641
2026,1,00-0033655
2026,1,00-0033658
2026,1,00-0033672
2026,1,00-0033681
2026,1,00-0033683
2026,1,00-0033687
2026,1,00-0033696
2026,1,00-0033699
2026,1,00-0033705
2026,1,00-0033706
2026,1,00-0033720
2026,1,00-0033725
2026,1,00-0033733
2026,1,00-0033735
2026,1,00-0033736
2026,1,00-0033739
2026,1,00-0033742
2026,1,00-0033747
2026,1,00-0033762
2026,1,00-0033763
2026,1,00-0033789
2026,1,00-0033797
2026,1,00-0033798
