season,week,offense,defense,down,togo,yardline,margin,seconds,playType,player,passer,airYards,caught,yards,touchdown,shotgun,manZone,coverage,rushers,shell,box,afterCatch
2021,1,LV,BAL,2,10,72,-7,2731,pass,00-0031610,00-0031280,13,0,0,0,1,,,,,,0
2021,1,LV,BAL,3,10,72,-7,2725,pass,00-0031610,00-0031280,12,0,0,0,1,,,,,,0
2021,1,BAL,LV,1,10,80,7,2708,pass,00-0036331,00-0034796,-3,1,6,0,1,,,,,,9
2021,1,BAL,LV,2,4,74,7,2700,run,00-0030513,,,,-3,0,1,,,,,,
2021,1,BAL,LV,3,7,77,7,2660,pass,00-0031325,00-0034796,6,0,0,0,1,,,,,,0
2021,1,LV,BAL,1,10,65,-7,2649,run,00-0035700,,,,0,0,0,,,,,,
2021,1,LV,BAL,2,10,65,-7,2605,pass,00-0035700,00-0031280,2,1,6,0,1,,,,,,4
2021,1,LV,BAL,3,10,65,-7,2536,pass,,00-0031280,0,0,-11,0,1,,,,,,0
2021,1,BAL,LV,1,10,68,7,2490,pass,00-0035662,00-0034796,19,1,29,0,1,,,,,,10
2021,1,BAL,LV,1,10,39,7,2457,run,00-0034796,,,,0,0,1,,,,,,
2021,1,BAL,LV,2,14,43,7,2415,pass,00-0031325,00-0034796,4,1,29,0,1,,,,,,25
2021,1,BAL,LV,1,10,14,7,2380,pass,00-0035249,00-0034796,14,0,0,0,1,,,,,,0
2021,1,BAL,LV,2,10,14,7,2375,run,00-0036457,,,,4,0,1,,,,,,
2021,1,BAL,LV,3,6,10,7,2341,pass,00-0035662,00-0034796,10,1,10,1,1,,,,,,0
2021,1,LV,BAL,1,10,75,-14,2332,pass,00-0035125,00-0031280,3,1,5,0,1,,,,,,2
2021,1,LV,BAL,2,5,70,-14,2295,pass,00-0033118,00-0031280,2,1,6,0,1,,,,,,4
2021,1,LV,BAL,1,10,64,-14,2264,pass,00-0034983,00-0031280,8,1,12,0,1,,,,,,4
