season,kind,yardline,togo,down,call,length,made
2021,play,16,10,1,run,0,0
2021,play,13,7,2,pass,0,0
2021,play,5,5,1,pass,0,0
2021,play,75,10,1,pass,0,0
2021,play,64,10,1,pass,0,0
2021,play,56,2,2,pass,0,0
2021,play,44,10,1,pass,0,0
2021,play,37,3,2,pass,0,0
2021,play,29,10,1,pass,0,0
2021,play,22,3,2,pass,0,0
2021,play,75,10,1,run,0,0
2021,play,72,7,2,pass,0,0
2021,play,45,10,1,run,0,0
2021,play,40,5,2,pass,0,0
2021,play,40,5,3,pass,0,0
2021,play,95,10,1,pass,0,0
2021,play,93,8,2,pass,0,0
2021,play,88,3,3,run,0,0
2021,play,50,10,1,run,0,0
2021,play,48,8,2,pass,0,0
2021,play,43,3,3,pass,0,0
2021,play,24,10,1,pass,0,0
2021,play,7,7,1,run,0,0
2021,play,2,2,2,pass,0,0
2021,play,75,10,1,pass,0,0
2021,play,39,10,1,pass,0,0
2021,play,33,4,2,pass,0,0
2021,play,20,10,1,pass,0,0
2021,play,17,7,2,pass,0,0
2021,play,13,3,3,pass,0,0
2021,kick,13,0,0,,31,0
2021,play,79,10,1,run,0,1
2021,play,27,10,1,run,0,0
2021,play,25,8,2,pass,0,0
2021,play,25,8,3,pass,0,0
2021,play,12,10,1,run,0,0
2021,play,5,3,2,pass,0,0
2021,play,80,10,1,pass,0,1
2021,play,21,10,1,pass,0,0
2021,play,17,6,2,pass,0,0
2021,play,17,6,3,pass,0,0
2021,kick,17,0,0,,35,1
2021,play,57,10,1,pass,0,0
2021,play,47,10,1,pass,0,0
2021,play,75,10,1,pass,0,0
2021,play,38,10,1,pass,0,0
2021,play,31,3,2,pass,0,0
2021,play,31,3,3,pass,0,0
2021,play,21,10,1,pass,0,0
2021,play,21,10,2,pass,0,0
2021,play,43,32,3,run,0,0
2021,kick,42,0,0,,60,0
2021,play,50,10,1,pass,0,0
2021,play,50,10,2,pass,0,0
2021,play,50,10,3,pass,0,1
2021,play,75,10,1,pass,0,0
2021,play,75,10,2,pass,0,0
2021,play,70,5,3,pass,0,0
2021,play,54,10,1,pass,0,0
2021,play,48,4,2,run,0,0
2021,play,48,4,3,pass,0,0
2021,play,34,10,1,pass,0,0
2021,play,18,10,1,pass,0,0
2021,play,12,4,2,pass,0,0
2021,play,8,8,1,run,0,0
2021,play,5,5,2,pass,0,0
2021,play,2,2,3,run,0,0
2021,kick,3,0,0,,21,1
2021,play,67,10,1,pass,0,0
2021,play,67,10,2,pass,0,0
2021,play,67,10,3,pass,0,0
2021,play,75,10,1,pass,0,1
2021,play,35,10,1,pass,0,0
2021,play,15,10,1,pass,0,0
2021,play,13,8,2,pass,0,0
2021,play,11,6,3,pass,0,0
2021,play,75,10,1,run,0,0
2021,play,62,10,1,pass,0,0
2021,play,55,3,2,run,0,0
2021,play,52,10,1,pass,0,0
2021,play,42,10,1,run,0,0
2021,play,42,10,2,pass,0,0
2021,play,33,1,3,pass,0,0
2021,play,27,10,1,run,0,0
2021,play,25,8,2,run,0,0
2021,play,21,4,3,pass,0,0
2021,play,75,10,1,pass,0,0
2021,play,60,10,1,run,0,0
2021,play,53,3,2,pass,0,0
2021,play,52,2,3,pass,0,0
2021,play,47,10,1,run,0,0
2021,play,47,10,2,pass,0,0
2021,play,47,10,3,pass,0,0
2021,play,94,10,1,pass,0,0
2021,play,92,8,2,pass,0,0
2021,play,92,8,3,pass,0,0
2021,play,63,10,1,pass,0,0
2021,play,56,3,2,pass,0,0
2021,play,47,10,1,run,0,0
2021,play,41,4,2,pass,0,0
2021,play,39,15,1,pass,0,0
2021,play,30,6,2,pass,0,0
2021,play,23,10,1,pass,0,0
2021,play,20,7,2,run,0,0
2021,play,14,1,3,run,0,0
2021,play,13,10,1,pass,0,1
2021,play,90,10,1,run,0,0
2021,play,89,9,2,pass,0,0
2021,play,81,1,3,pass,0,0
2021,play,75,10,1,pass,0,0
2021,play,64,10,1,pass,0,0
2021,play,74,20,2,pass,0,0
2021,play,65,11,3,pass,0,0
2021,play,34,10,1,pass,0,0
2021,play,34,10,2,run,0,0
2021,play,40,16,3,pass,0,0
2021,kick,30,0,0,,48,1
2021,play,75,10,1,pass,0,0
2021,play,67,2,2,pass,0,0
2021,play,67,2,3,pass,0,0
2021,play,68,15,1,pass,0,0
2021,play,62,9,2,pass,0,0
2021,play,42,10,1,pass,0,0
2021,play,42,10,2,pass,0,0
2021,play,18,10,1,pass,0,0
2021,play,18,10,2,pass,0,0
2021,play,18,10,3,pass,0,0
2021,kick,18,0,0,,36,1
2021,play,75,10,1,run,0,0
2021,play,77,10,1,run,0,0
2021,play,72,5,2,pass,0,0
2021,play,72,5,3,pass,0,0
2021,play,30,10,1,pass,0,0
2021,play,36,16,2,run,0,0
2021,play,38,18,3,pass,0,0
2021,play,80,10,1,run,0,0
2021,play,81,11,2,pass,0,0
2021,play,66,10,1,run,0,0
2021,play,64,8,2,run,0,0
2021,play,59,3,3,pass,0,0
2021,play,78,10,1,run,0,0
2021,play,74,6,2,pass,0,0
2021,play,70,2,3,pass,0,0
2021,play,67,10,1,pass,0,0
2021,play,54,10,1,pass,0,0
2021,play,47,3,2,run,0,0
2021,play,55,11,2,run,0,0
2021,play,46,2,3,pass,0,0
2021,play,40,10,1,run,0,0
2021,play,38,8,2,pass,0,0
2021,play,37,7,3,pass,0,0
2021,play,37,7,4,pass,0,0
2021,play,22,10,1,run,0,0
2021,play,20,8,2,pass,0,0
2021,play,11,10,1,pass,0,0
2021,play,11,10,2,run,0,0
2021,play,13,12,3,run,0,0
2021,kick,5,0,0,,23,1
2021,play,75,10,1,pass,0,0
2021,play,58,10,1,run,0,0
2021,play,56,8,2,pass,0,0
2021,play,50,10,1,pass,0,0
2021,play,44,4,2,run,0,0
2021,play,45,5,3,pass,0,0
2021,play,37,10,1,pass,0,0
2021,play,75,10,1,pass,0,0
2021,play,70,5,2,run,0,0
2021,play,63,10,1,pass,0,0
2021,play,38,10,1,pass,0,0
2021,play,42,14,2,pass,0,0
2021,play,37,9,3,pass,0,0
2021,play,13,10,1,run,0,0
2021,play,10,7,2,pass,0,1
2021,play,96,10,1,run,0,0
2021,play,95,9,2,pass,0,0
2021,play,95,9,3,pass,0,0
2021,play,57,10,1,pass,0,0
2021,play,55,8,2,run,0,0
2021,play,55,8,3,pass,0,0
2021,play,49,2,4,pass,0,0
2021,play,35,10,1,pass,0,0
2021,play,18,10,1,pass,0,0
2021,play,2,2,1,pass,0,0
2021,play,75,10,1,run,0,0
2021,play,70,5,2,pass,0,0
2021,play,70,5,3,pass,0,0
2021,play,60,10,1,run,0,0
2021,play,56,6,2,pass,0,0
2021,play,56,6,3,pass,0,0
2021,play,50,10,1,pass,0,0
2021,play,50,10,2,run,0,0
2021,play,44,4,3,pass,0,0
2021,play,36,10,1,run,0,0
2021,play,30,4,2,pass,0,0
2021,play,33,7,3,pass,0,0
2021,play,13,10,1,run,0,0
2021,play,11,8,2,pass,0,0
2021,play,11,8,3,pass,0,0
2021,play,4,1,4,pass,0,0
2021,play,75,10,1,run,0,0
2021,play,70,5,2,pass,0,0
2021,play,70,5,3,pass,0,0
2021,play,55,10,1,run,0,0
2021,play,53,8,2,pass,0,0
2021,play,53,8,3,pass,0,0
2021,play,33,10,1,pass,0,0
2021,play,25,2,2,pass,0,0
2021,play,25,2,3,run,0,0
2021,play,22,10,1,run,0,1
2021,play,87,10,1,run,0,0
2021,play,85,8,2,pass,0,0
2021,play,85,8,3,pass,0,0
2021,play,63,10,1,run,0,0
2021,play,51,10,1,run,0,0
2021,play,48,7,2,run,0,0
2021,play,25,10,1,run,0,0
2021,play,25,10,2,pass,0,0
2021,play,31,16,3,pass,0,0
2021,kick,18,0,0,,36,1
2021,play,75,10,1,run,0,0
2021,play,72,7,2,run,0,0
2021,play,52,10,1,run,0,0
2021,play,50,8,2,run,0,0
2021,play,46,4,3,pass,0,0
2021,play,46,4,4,run,0,0
2021,play,38,10,1,run,0,0
2021,play,36,8,2,pass,0,0
2021,play,19,10,1,pass,0,0
2021,play,19,10,2,run,0,0
2021,play,7,7,1,pass,0,0
2021,play,7,7,2,run,0,0
2021,play,6,6,3,pass,0,0
2021,play,6,6,4,pass,0,0
2021,play,94,10,1,run,0,0
2021,play,92,8,2,run,0,0
2021,play,88,4,3,pass,0,0
2021,play,70,10,1,run,0,0
2021,play,52,10,1,pass,0,0
2021,play,38,10,1,pass,0,0
2021,play,32,4,2,pass,0,0
2021,play,16,10,1,pass,0,0
2021,play,16,10,2,pass,0,0
2021,play,16,10,3,pass,0,0
2021,play,21,15,4,pass,0,0
2021,play,79,10,1,run,0,0
2021,play,76,7,2,run,0,0
2021,play,77,8,3,run,0,0
2021,play,64,10,1,pass,0,0
2021,play,48,10,1,pass,0,0
2021,play,42,4,2,pass,0,0
2021,play,33,10,1,pass,0,0
2021,play,18,10,2,pass,0,0
