season,week,gameId,offense,defense,half,startYard,result,plays,netYards,firstCall,firstYards,spread,total
2024,2,2024_02_PIT_DEN,PIT,DEN,2,70,Punt,5,12,run,3,3,36.5
2024,2,2024_02_SEA_NE,NE,SEA,1,70,Punt,3,-1,run,1,-3.5,39
2024,2,2024_02_SEA_NE,SEA,NE,2,70,Turnover on downs,10,46,pass,0,3.5,39
2024,2,2024_02_SF_MIN,SF,MIN,1,70,Punt,3,7,pass,5,4.5,46.5
2024,2,2024_02_SF_MIN,MIN,SF,2,70,Punt,3,-7,run,4,-4.5,46.5
2024,2,2024_02_TB_DET,TB,DET,1,70,Field goal,6,58,pass,1,-7.5,51.5
2024,2,2024_02_TB_DET,DET,TB,2,70,Field goal,5,57,pass,20,7.5,51.5
2024,3,2024_03_BAL_DAL,DAL,BAL,1,85,Punt,7,13,pass,1,-1.5,47.5
2024,3,2024_03_BAL_DAL,BAL,DAL,2,70,Touchdown,5,70,run,6,1.5,47.5
2024,3,2024_03_CAR_LV,CAR,LV,1,70,Touchdown,9,70,pass,4,-5.5,40
2024,3,2024_03_CAR_LV,LV,CAR,2,73,Punt,3,4,run,2,5.5,40
2024,3,2024_03_CHI_IND,CHI,IND,1,70,Missed field goal,10,32,run,4,-1.5,43
2024,3,2024_03_CHI_IND,IND,CHI,2,70,Turnover,1,0,pass,0,1.5,43
2024,3,2024_03_DEN_TB,DEN,TB,1,70,Touchdown,6,70,pass,22,-6,40.5
2024,3,2024_03_DEN_TB,TB,DEN,2,70,Punt,5,19,pass,13,6,40.5
2024,3,2024_03_DET_ARI,DET,ARI,1,70,Touchdown,9,70,run,11,3,51.5
2024,3,2024_03_DET_ARI,ARI,DET,2,70,Turnover,5,34,pass,13,-3,51.5
2024,3,2024_03_GB_TEN,GB,TEN,1,70,Touchdown,6,70,pass,30,-3,37
2024,3,2024_03_GB_TEN,TEN,GB,2,85,Turnover on downs,6,22,pass,8,3,37
2024,3,2024_03_HOU_MIN,HOU,MIN,1,80,Turnover,1,0,pass,0,2,46
2024,3,2024_03_HOU_MIN,MIN,HOU,2,77,Touchdown,8,77,run,3,-2,46
2024,3,2024_03_JAX_BUF,BUF,JAX,1,70,Touchdown,10,70,pass,19,4,46.5
2024,3,2024_03_JAX_BUF,JAX,BUF,2,70,Touchdown,8,70,run,4,-4,46.5
2024,3,2024_03_KC_ATL,ATL,KC,1,70,Touchdown,7,70,pass,9,-3,46
2024,3,2024_03_KC_ATL,KC,ATL,2,70,Field goal,10,67,pass,9,3,46
2024,3,2024_03_LAC_PIT,LAC,PIT,1,70,Punt,3,7,run,2,-3,36
2024,3,2024_03_LAC_PIT,PIT,LAC,2,70,Field goal,11,50,run,6,3,36
2024,3,2024_03_MIA_SEA,SEA,MIA,1,65,Field goal,6,28,run,4,4,41.5
2024,3,2024_03_MIA_SEA,MIA,SEA,2,81,Punt,3,1,pass,6,-4,41.5
2024,3,2024_03_NE_NYJ,NYJ,NE,1,70,Punt,7,27,pass,6,6.5,39
2024,3,2024_03_NE_NYJ,NE,NYJ,2,70,Punt,3,6,run,-1,-6.5,39
2024,3,2024_03_NYG_CLE,CLE,NYG,1,24,Touchdown,1,24,pass,24,6.5,38
2024,3,2024_03_NYG_CLE,CLE,NYG,2,70,Punt,3,-2,pass,0,6.5,38
2024,3,2024_03_PHI_NO,NO,PHI,1,70,Field goal,14,54,run,0,2.5,49
2024,3,2024_03_PHI_NO,PHI,NO,2,77,Turnover on downs,10,37,run,11,-2.5,49
2024,3,2024_03_SF_LA,SF,LA,1,70,Touchdown,8,70,run,6,6,44.5
2024,3,2024_03_SF_LA,LA,SF,2,70,Punt,4,20,pass,15,-6,44.5
2024,3,2024_03_WAS_CIN,CIN,WAS,1,71,Touchdown,6,71,pass,1,7.5,46
2024,3,2024_03_WAS_CIN,WAS,CIN,2,33,Touchdown,9,33,run,5,-7.5,46
2024,4,2024_04_BUF_BAL,BUF,BAL,1,70,Punt,7,20,pass,5,-2.5,46.5
2024,4,2024_04_BUF_BAL,BAL,BUF,2,70,Punt,3,-10,pass,0,2.5,46.5
2024,4,2024_04_CIN_CAR,CAR,CIN,1,70,Turnover on downs,12,69,run,6,-4.5,47
2024,4,2024_04_CIN_CAR,CIN,CAR,2,71,Touchdown,8,71,pass,10,4.5,47
2024,4,2024_04_CLE_LV,CLE,LV,1,70,Touchdown,15,70,run,6,2.5,36.5
2024,4,2024_04_CLE_LV,LV,CLE,2,70,Field goal,7,55,pass,19,-2.5,36.5
2024,4,2024_04_DAL_NYG,DAL,NYG,1,70,Punt,3,5,run,6,5.5,45
2024,4,2024_04_DAL_NYG,NYG,DAL,2,80,Field goal,10,77,run,-3,-5.5,45
2024,4,2024_04_DEN_NYJ,NYJ,DEN,1,70,Turnover,3,-1,pass,-8,7.5,39.5
2024,4,2024_04_DEN_NYJ,DEN,NYJ,2,70,Punt,5,21,run,3,-7.5,39.5
2024,4,2024_04_JAX_HOU,JAX,HOU,1,70,Punt,5,15,pass,6,-5.5,44.5
2024,4,2024_04_JAX_HOU,HOU,JAX,2,70,Punt,3,4,run,4,5.5,44.5
2024,4,2024_04_KC_LAC,KC,LAC,1,70,Turnover,4,43,pass,0,7.5,41.5
2024,4,2024_04_KC_LAC,LAC,KC,2,70,Missed field goal,5,33,run,4,-7.5,41.5
2024,4,2024_04_LA_CHI,CHI,LA,1,75,Punt,5,19,run,6,3,40
2024,4,2024_04_LA_CHI,LA,CHI,2,70,Field goal,11,63,run,9,-3,40
2024,4,2024_04_MIN_GB,MIN,GB,1,73,Touchdown,6,73,run,5,-2.5,44
2024,4,2024_04_MIN_GB,GB,MIN,2,70,Punt,3,6,run,3,2.5,44
2024,4,2024_04_NE_SF,NE,SF,1,70,Punt,9,29,run,1,-10.5,41.5
2024,4,2024_04_NE_SF,NE,SF,2,27,Touchdown,5,27,run,13,-10.5,41.5
2024,4,2024_04_NO_ATL,ATL,NO,1,70,Touchdown,8,24,run,2,2.5,41.5
2024,4,2024_04_NO_ATL,NO,ATL,2,70,Punt,5,12,run,0,-2.5,41.5
2024,4,2024_04_PHI_TB,TB,PHI,1,79,Touchdown,10,79,pass,8,-1,42
2024,4,2024_04_PHI_TB,PHI,TB,2,70,Touchdown,5,70,run,59,1,42
2024,4,2024_04_PIT_IND,IND,PIT,1,70,Touchdown,8,70,pass,32,-2.5,40
2024,4,2024_04_PIT_IND,PIT,IND,2,65,Punt,6,17,run,3,2.5,40
2024,4,2024_04_SEA_DET,DET,SEA,1,73,Punt,3,-10,pass,1,3.5,46.5
2024,4,2024_04_SEA_DET,SEA,DET,2,75,Touchdown,10,75,run,6,-3.5,46.5
2024,4,2024_04_TEN_MIA,TEN,MIA,1,77,Turnover,7,34,pass,4,-2.5,37
2024,4,2024_04_TEN_MIA,MIA,TEN,2,70,Punt,3,1,run,1,2.5,37
2024,4,2024_04_WAS_ARI,ARI,WAS,1,55,Touchdown,9,55,pass,9,3.5,49
2024,4,2024_04_WAS_ARI,WAS,ARI,2,70,Touchdown,3,70,pass,9,-3.5,49
2024,5,2024_05_ARI_SF,SF,ARI,1,70,Punt,3,2,pass,0,7,48.5
2024,5,2024_05_ARI_SF,ARI,SF,2,74,Punt,3,1,pass,-6,-7,48.5
2024,5,2024_05_BAL_CIN,BAL,CIN,1,70,Touchdown,12,70,run,9,2.5,48.5
2024,5,2024_05_BAL_CIN,CIN,BAL,2,70,Touchdown,12,70,pass,-4,-2.5,48.5
2024,5,2024_05_BUF_HOU,BUF,HOU,1,70,Punt,3,7,run,7,-1,48
2024,5,2024_05_BUF_HOU,HOU,BUF,2,70,Field goal,7,41,pass,18,1,48
2024,5,2024_05_CAR_CHI,CAR,CHI,1,70,Punt,3,5,run,5,-4,40
2024,5,2024_05_CAR_CHI,CHI,CAR,2,70,Punt,3,7,run,0,4,40
2024,5,2024_05_CLE_WAS,CLE,WAS,1,70,Turnover on downs,5,23,pass,14,-3,44
2024,5,2024_05_CLE_WAS,WAS,CLE,2,70,Turnover,1,2,run,2,3,44
2024,5,2024_05_DAL_PIT,DAL,PIT,1,57,Field goal,5,21,pass,3,-2.5,43.5
2024,5,2024_05_DAL_PIT,PIT,DAL,2,57,Touchdown,6,57,run,5,2.5,43.5
2024,5,2024_05_GB_LA,GB,LA,1,70,Punt,3,-5,pass,0,3,49.5
2024,5,2024_05_GB_LA,LA,GB,2,71,Turnover,5,46,run,6,-3,49.5
2024,5,2024_05_IND_JAX,IND,JAX,1,71,Touchdown,12,71,pass,13,-3.5,45
2024,5,2024_05_IND_JAX,JAX,IND,2,70,Punt,5,20,run,2,3.5,45
2024,5,2024_05_LV_DEN,LV,DEN,1,70,Touchdown,4,70,pass,3,-3,36
2024,5,2024_05_LV_DEN,DEN,LV,2,80,Punt,3,7,run,13,3,36
2024,5,2024_05_MIA_NE,MIA,NE,1,74,Field goal,7,38,run,4,2,37
2024,5,2024_05_MIA_NE,NE,MIA,2,70,Field goal,9,50,run,16,-2,37
2024,5,2024_05_NO_KC,NO,KC,1,70,Turnover,6,31,pass,7,-5.5,43
2024,5,2024_05_NO_KC,KC,NO,2,71,Missed field goal,9,38,run,4,5.5,43
2024,5,2024_05_NYG_SEA,SEA,NYG,1,70,Punt,5,20,pass,0,7,42.5
2024,5,2024_05_NYG_SEA,NYG,SEA,2,70,Punt,3,5,run,1,-7,42.5
2024,5,2024_05_NYJ_MIN,NYJ,MIN,1,74,Punt,3,9,run,1,-2.5,42
2024,5,2024_05_NYJ_MIN,MIN,NYJ,2,70,Punt,3,2,run,1,2.5,42
2024,5,2024_05_TB_ATL,ATL,TB,1,70,Touchdown,7,70,run,2,2.5,44
2024,5,2024_05_TB_ATL,TB,ATL,2,63,Punt,3,-2,run,2,-2.5,44
2024,6,2024_06_ARI_GB,GB,ARI,1,65,Punt,5,11,run,2,5.5,47
2024,6,2024_06_ARI_GB,ARI,GB,2,74,Field goal,8,53,run,1,-5.5,47
2024,6,2024_06_ATL_CAR,CAR,ATL,1,65,Punt,3,-3,run,4,-6,45.5
2024,6,2024_06_ATL_CAR,ATL,CAR,2,70,Field goal,10,67,run,1,6,45.5
2024,6,2024_06_BUF_NYJ,NYJ,BUF,1,70,Field goal,7,54,run,3,-1,42
2024,6,2024_06_BUF_NYJ,BUF,NYJ,2,77,Missed field goal,6,48,pass,38,1,42
2024,6,2024_06_CIN_NYG,CIN,NYG,1,69,Touchdown,8,69,run,4,4.5,46
2024,6,2024_06_CIN_NYG,NYG,CIN,2,70,Turnover on downs,4,8,pass,0,-4.5,46
2024,6,2024_06_CLE_PHI,PHI,CLE,1,74,Punt,3,5,run,5,8,42
2024,6,2024_06_CLE_PHI,CLE,PHI,2,70,Missed field goal,7,36,run,1,-8,42
2024,6,2024_06_DET_DAL,DAL,DET,1,70,Field goal,8,54,run,1,-3.5,52.5
2024,6,2024_06_DET_DAL,DET,DAL,2,70,Touchdown,5,70,run,11,3.5,52.5
2024,6,2024_06_HOU_NE,HOU,NE,1,65,Touchdown,11,65,run,3,6.5,38.5
2024,6,2024_06_HOU_NE,NE,HOU,2,79,Turnover,2,-11,run,1,-6.5,38.5
2024,6,2024_06_IND_TEN,IND,TEN,1,70,Touchdown,10,70,pass,0,-2.5,42
2024,6,2024_06_IND_TEN,TEN,IND,2,70,Touchdown,14,70,run,6,2.5,42
2024,6,2024_06_JAX_CHI,CHI,JAX,1,75,Punt,3,4,run,3,-1.5,44.5
2024,6,2024_06_JAX_CHI,JAX,CHI,2,66,Turnover,1,24,pass,24,1.5,44.5
2024,6,2024_06_LAC_DEN,DEN,LAC,1,70,Turnover,3,2,run,1,-3,37
2024,6,2024_06_LAC_DEN,LAC,DEN,2,70,Punt,6,12,run,6,3,37
2024,6,2024_06_PIT_LV,PIT,LV,1,71,Field goal,8,37,pass,11,3.5,36.5
2024,6,2024_06_PIT_LV,LV,PIT,2,70,Punt,6,4,run,-1,-3.5,36.5
2024,6,2024_06_SF_SEA,SEA,SF,1,64,Turnover,6,39,run,3,-3.5,49
2024,6,2024_06_SF_SEA,SF,SEA,2,70,Touchdown,9,70,run,8,3.5,49
2024,6,2024_06_TB_NO,TB,NO,1,74,Touchdown,8,74,pass,12,3.5,42.5
2024,6,2024_06_TB_NO,NO,TB,2,70,Punt,7,35,pass,11,-3.5,42.5
2024,6,2024_06_WAS_BAL,BAL,WAS,1,66,Turnover,4,46,run,2,6.5,51.5
2024,6,2024_06_WAS_BAL,WAS,BAL,2,70,Field goal,5,33,run,0,-6.5,51.5
2024,7,2024_07_BAL_TB,TB,BAL,1,70,Touchdown,8,70,run,6,-4.5,51
2024,7,2024_07_BAL_TB,BAL,TB,2,58,Field goal,4,24,run,6,4.5,51
2024,7,2024_07_CAR_WAS,CAR,WAS,1,86,Opp touchdown,8,61,pass,7,-10,51
2024,7,2024_07_CAR_WAS,WAS,CAR,2,59,Touchdown,10,59,run,1,10,51
2024,7,2024_07_CIN_CLE,CLE,CIN,1,76,Punt,3,9,pass,0,-5.5,42
2024,7,2024_07_CIN_CLE,CLE,CIN,2,92,Turnover on downs,8,57,pass,9,-5.5,42
2024,7,2024_07_DEN_NO,DEN,NO,1,65,Punt,6,24,run,14,2.5,37
2024,7,2024_07_DEN_NO,NO,DEN,2,70,Punt,3,3,pass,0,-2.5,37
2024,7,2024_07_DET_MIN,DET,MIN,1,70,Turnover on downs,4,4,run,3,-1,50.5
2024,7,2024_07_DET_MIN,MIN,DET,2,80,Touchdown,9,80,pass,15,1,50.5
2024,7,2024_07_HOU_GB,GB,HOU,1,80,Turnover,4,30,pass,23,3,48
2024,7,2024_07_HOU_GB,HOU,GB,2,70,Punt,3,-3,run,-2,-3,48
2024,7,2024_07_KC_SF,SF,KC,1,70,Punt,3,5,run,-1,2.5,47.5
2024,7,2024_07_KC_SF,KC,SF,2,71,Turnover,3,2,pass,0,-2.5,47.5
2024,7,2024_07_LAC_ARI,ARI,LAC,1,70,Turnover,6,29,pass,0,-1,44
2024,7,2024_07_LAC_ARI,LAC,ARI,2,70,Punt,7,24,run,6,1,44
2024,7,2024_07_LV_LA,LV,LA,1,70,Punt,6,19,pass,8,-7,43
2024,7,2024_07_LV_LA,LA,LV,2,70,Punt,3,6,pass,0,7,43
2024,7,2024_07_MIA_IND,IND,MIA,1,70,Punt,3,4,run,-2,3,44
2024,7,2024_07_MIA_IND,MIA,IND,2,70,Punt,4,20,run,12,-3,44
2024,7,2024_07_NE_JAX,NE,JAX,1,68,Touchdown,11,68,run,2,-6.5,42
